Unnamed: 0,As,Br,Cl,F,H,I,N,O,P,S,Sb,Se,Te
Ac,2.95,2.97,2.83,2.47,2.26,3.14,2.3,2.27,2.66,2.68,3.35,2.81,3.04
Ag,3.0,2.8,2.68,2.33,2.23,2.9,2.27,2.15,2.85,2.59,3.23,2.78,3.07
Al,2.55,2.59,2.46,2.08,1.93,2.92,2.0,1.85,2.4,2.32,2.85,2.47,2.69
As,3.53,3.42,3.33,2.64,2.58,3.36,2.6,2.58,3.4,3.09,3.69,3.15,3.09
At,3.4,3.08,2.88,2.56,2.49,3.26,2.52,2.3,3.26,3.04,3.58,3.06,3.17
Au,2.65,3.02,2.51,2.13,2.0,2.82,2.06,2.01,2.5,2.38,2.94,2.54,2.81
B,4.0,3.8,3.47,3.14,3.14,3.91,2.89,3.0,3.88,3.29,4.1,3.48,3.7
Bi,3.4,3.08,2.88,2.56,2.49,3.26,2.52,2.3,3.26,3.04,3.58,3.06,3.17
Cd,2.91,2.86,2.7,2.28,2.17,2.99,2.21,2.28,2.76,2.55,3.16,2.72,2.96
Ce,3.12,2.99,2.85,2.45,2.25,3.18,2.29,2.25,2.69,2.67,3.39,2.81,3.21
Co,2.57,2.5,2.47,2.09,1.94,2.77,2.01,2.53,2.42,2.23,2.87,2.49,2.56
Cr,2.67,2.5,2.44,1.94,1.9,2.64,1.96,1.93,2.42,2.28,2.89,2.47,2.77
Cu,3.44,2.52,2.58,2.59,2.52,3.16,2.55,2.33,3.3,2.87,3.61,3.09,3.41
Dy,3.08,2.89,2.75,2.37,2.24,3.09,2.29,2.17,2.9,2.63,3.36,2.85,3.19
Er,3.06,2.86,2.72,2.34,2.24,3.06,2.28,2.15,2.89,2.61,3.33,2.84,3.17
Eu,3.28,2.94,2.8,2.37,2.48,3.24,2.51,2.3,3.11,2.84,3.57,3.05,3.4
Fe,2.44,2.61,2.44,2.12,1.83,2.56,1.92,2.19,2.28,2.21,2.75,2.39,2.61
Ga,2.6,2.77,2.95,2.1,1.96,2.96,2.02,2.02,2.44,2.36,2.89,2.5,2.71
Gd,3.11,2.92,2.78,2.39,2.25,3.12,2.3,2.2,2.91,2.65,3.4,2.82,3.22
Ge,3.79,2.82,2.71,2.79,2.76,3.05,2.76,2.47,3.67,2.44,3.92,3.34,3.11
Hf,2.85,2.75,2.62,2.3,2.15,2.92,2.22,2.1,2.72,2.5,3.07,2.66,2.92
Hg,2.85,2.94,2.61,2.25,2.13,3.28,2.18,2.08,2.7,2.48,3.11,2.68,2.87
Ho,3.07,2.87,2.73,2.35,2.23,3.08,2.28,2.16,2.9,2.62,3.35,2.84,3.18
In,2.81,3.06,2.84,2.23,2.1,3.27,2.16,2.42,2.66,2.51,3.08,2.65,2.85
Ir,2.58,2.83,2.47,2.09,1.95,2.78,2.01,1.98,2.42,2.33,2.88,2.49,2.76
La,3.25,3.06,2.91,2.51,2.34,3.26,2.38,2.31,2.9,2.71,3.55,2.92,3.38
Lu,3.03,2.82,2.68,2.3,2.26,3.03,2.3,2.11,2.86,2.58,3.28,2.82,3.13
Mn,2.52,2.47,2.44,2.1,1.94,2.53,1.91,1.93,2.42,2.25,2.85,2.43,2.68
Mo,2.64,2.77,2.64,2.08,2.02,2.83,2.05,2.07,2.5,2.4,3.0,2.54,2.91
Nb,2.76,2.73,2.6,2.3,2.06,2.92,2.2,2.1,2.59,2.47,3.02,2.6,2.82
Nd,3.19,3.0,2.86,2.46,2.32,3.2,2.36,2.27,2.95,2.69,3.46,2.91,3.3
Ni,2.43,2.45,2.39,2.0,1.85,2.68,1.92,2.69,2.27,2.29,2.74,2.38,2.56
Np,2.95,2.97,2.83,2.47,2.26,3.14,2.3,2.27,2.66,2.68,3.35,2.81,3.04
Os,2.56,2.69,2.43,2.07,1.96,2.76,2.02,2.02,2.42,2.38,2.9,2.55,2.81
Pa,2.99,2.97,2.84,2.47,2.26,3.14,2.3,2.27,2.67,2.68,3.34,2.81,3.05
Pb,3.23,3.05,2.89,2.46,2.38,3.23,2.41,2.23,3.09,2.81,3.43,2.94,3.06
Pd,2.72,2.88,2.54,2.17,2.04,2.8,2.1,2.91,2.57,2.43,3.0,2.59,2.68
Pm,3.16,2.97,2.83,2.44,2.3,3.17,2.34,2.26,2.93,2.68,3.43,2.86,3.26
Po,3.4,3.08,2.88,2.56,2.49,3.26,2.52,2.3,3.26,3.04,3.58,3.06,3.17
Pr,3.21,3.02,2.88,2.49,2.34,3.22,2.38,2.29,2.87,2.71,3.49,2.92,3.32
Pt,2.62,3.05,3.04,2.11,1.97,2.8,2.03,2.0,2.46,2.36,2.91,2.51,2.79
Pu,2.95,2.97,2.83,2.47,2.26,3.14,2.3,2.27,2.66,2.68,3.35,2.81,3.04
Re,2.55,2.6,2.44,2.09,1.96,2.79,2.04,2.08,2.4,2.45,2.97,2.66,2.89
Rh,2.72,2.68,2.54,2.17,2.04,2.85,2.1,2.04,2.57,2.42,3.0,2.59,2.86
Ru,2.61,2.62,2.49,2.11,1.98,2.79,2.03,2.01,2.46,2.36,2.91,2.53,2.8
Sb,3.25,3.17,3.07,2.48,2.39,3.27,2.43,2.36,3.11,2.85,3.45,2.96,3.07
Sc,2.96,2.72,2.58,2.21,2.13,2.95,2.19,2.05,2.81,2.49,3.2,2.77,3.06
Si,3.1,2.88,2.73,2.39,2.29,3.09,2.33,2.19,2.95,2.66,3.32,2.85,3.15
Sm,3.15,2.95,2.82,2.43,2.28,3.15,2.32,2.24,2.92,2.68,3.44,2.85,3.26
Sn,2.97,2.93,2.81,2.31,2.21,3.19,2.25,2.14,2.82,2.61,3.21,2.76,3.05
Ta,2.74,2.72,2.59,2.29,2.05,2.9,2.21,2.11,2.56,2.47,2.99,2.59,2.82
Tb,3.09,2.9,2.76,2.38,2.24,3.1,2.28,2.19,2.9,2.64,3.38,2.8,3.21
Tc,2.5,2.56,2.43,2.04,1.91,2.73,1.97,1.98,2.35,2.31,2.83,2.47,2.73
Th,3.15,3.06,2.92,2.54,2.31,3.24,2.35,2.33,2.74,2.74,3.42,2.87,3.21
Ti,2.75,2.63,2.48,2.17,2.01,2.83,2.06,1.98,2.62,2.39,2.96,2.56,2.83
Tl,3.05,2.86,2.71,2.36,2.26,3.07,2.31,2.16,2.91,2.59,3.28,2.82,2.92
Tm,3.05,2.84,2.71,2.33,2.27,3.05,2.31,2.14,2.88,2.6,3.31,2.83,3.15
